formula,MASS_MEAN,MASS_STD,MASS_MIN,ATOMIC_RADII_MEAN,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_MIN,IONIZATION_ENERGIES_MEAN,IONIZATION_ENERGIES_STD,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MIN,VALENCE_MEAN,VALENCE_STD,VALENCE_MIN,VALENCE_MODE,SHELL_STD,SHELL_MAX,SHELL_MODE,S_E_MEAN,S_E_STD,S_E_MAX,P_E_MEAN,P_E_MIN,BLOCK_MEAN,BLOCK_STD,BLOCK_MAX,S_UNFILLED_MEAN,S_UNFILLED_STD,S_UNFILLED_MODE,P_UNFILLED_MEAN,P_UNFILLED_STD,P_UNFILLED_MIN,P_UNFILLED_MODE,D_UNFILLED_MEAN,D_UNFILLED_STD,D_UNFILLED_MIN,D_UNFILLED_MODE,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MAX_OXIDATION_STATE_MAX,MAX_OXIDATION_STATE_MIN,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MAX,MENDELEEV_NO_MEAN,MENDELEEV_NO_MAX,MENDELEEV_NO_MODE,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_RANGE,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,C,VOLUME_PER_ATOM,DENSITY,DISTANCE_STD,DISTANCE_MAX
Ag2Al2O4_194.vasp,41.712135,38.45746,15.9994,1.0125,0.4306608,1.6,2.605,1.61,27.638798,7.541011,18.82855,1.1648797,0.42745614,0.432835,1.0704167,0.23900945,0.675,2.5,1.5,1.0,1.0,1.2247449,5.0,2.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,2.5,0.5,3.0,2.0,569.5,525.6195,1234.93,88.25,101.0,101.0,10.0,17.36,2701.8,3.0,0.61237246,8.0,194.0,120.0,2.877865,12.249308,10.98229,6.306938,0.08379043,2.1090715
Ag2Al2S4_122.vasp,49.744934,33.621593,26.981539,1.2125,0.24590395,1.6,2.175,1.61,21.747177,1.8471668,18.82855,1.4728793,0.6782752,0.432835,0.8804167,0.14554675,0.675,2.5,1.5,1.0,1.0,0.8660254,5.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,736.27997,363.87924,1234.93,84.75,94.0,94.0,10.0,15.53,2074.13,3.0,0.61237246,8.0,122.0,90.0,5.7024937,6.588433,21.17924,3.9002066,0.1317895,2.5614407
Ag2Al2Se4_122.vasp,73.19244,29.173555,26.981539,1.2874999,0.18498313,1.6,2.1599998,1.61,20.676237,1.0732403,18.82855,1.4446293,0.65323555,0.432835,0.94708335,0.1599148,0.675,2.5,1.5,1.0,1.0,0.70710677,5.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,789.1,313.7575,1234.93,84.25,93.0,93.0,10.0,16.42,1834.0,3.0,0.61237246,8.0,122.0,90.000015,5.975206,6.9442844,24.595137,4.9415827,0.11449032,2.66078
Ag2Al2Te4_122.vasp,97.512436,41.51016,26.981539,1.4124999,0.12437344,1.6,1.935,1.61,19.378239,1.2195678,18.6,1.4197649,0.63142085,0.432835,1.0870833,0.25243363,0.675,2.5,1.5,1.0,1.0,0.8660254,5.0,5.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,903.42993,209.8513,1234.93,83.75,92.0,92.0,10.0,20.46,1531.0,3.0,0.61237246,8.0,122.0,90.00001,6.351813,7.554261,30.632597,5.2859774,0.06844886,2.7921653
Ag2AlInS4_82.vasp,60.724495,38.39795,26.981539,1.25,0.27041635,1.6,2.19625,1.61,21.752409,1.8389325,18.82855,1.4667656,0.68777597,0.383926,0.9135417,0.12351462,0.675,2.5,1.5,1.0,1.0,0.96824586,5.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,673.315,367.8697,1234.93,84.625,94.0,94.0,10.0,15.53,2074.13,4.0,0.586302,8.0,82.0,73.85982,6.876861,6.876861,23.462452,4.2977347,0.13494594,2.5910647
Ag2AlInSe4_82.vasp,84.172,26.080658,26.981539,1.325,0.20310098,1.6,2.18125,1.61,20.681469,1.0642837,18.82855,1.4385157,0.66283464,0.383926,0.98020834,0.12340211,0.675,2.5,1.5,1.0,1.0,0.6614378,5.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,2.25,1.7853571,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5,6.0,3.0,726.135,328.65698,1234.93,84.125,93.0,93.0,10.0,16.42,1834.0,4.0,0.586302,8.0,82.0,73.41803,7.23776,7.23776,27.151606,5.1477942,0.11696332,2.6895664
Ag2AlLi_225.vasp,62.414734,46.002396,6.941,1.475,0.14361407,1.6,1.6125,0.98,34.359364,23.858095,18.82855,0.9149575,0.39498144,0.432835,0.93708336,0.1694205,0.675,1.0,0.0,1.0,1.0,1.299038,5.0,5.0,1.25,0.4330127,2.0,0.25,0.0,1.25,0.8291562,2.0,0.75,0.4330127,1.0,1.25,2.1650636,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.8660254,3.0,1.0,964.255,319.43478,1234.93,58.5,80.0,71.0,10.0,10.27,1177.0,3.0,0.61237246,4.0,225.0,60.00001,4.439986,4.4399853,15.472833,6.698328,3.8459253000000004e-16,2.7189248
Ag2AlMg_225.vasp,66.75574,41.123356,24.305,1.4875,0.14306904,1.6,1.6949999,1.31,19.208155,2.641952,15.035271,0.6554453,0.71564865,-0.42,0.9270834,0.1724673,0.675,1.25,0.4330127,1.0,1.0,1.0,5.0,3.0,1.5,0.5,2.0,0.25,0.0,1.25,0.8291562,2.0,0.5,0.5,0.0,1.25,2.1650636,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.4330127,3.0,2.0,1081.5825,153.39221,1234.93,73.75,80.0,71.0,10.0,10.27,1429.0,3.0,0.61237246,4.0,225.0,60.0,4.5639253,4.5639253,16.805082,6.596249,3.7264394e-06,2.7948184
Ag2AlSc_225.vasp,71.918465,36.507103,26.981539,1.5124999,0.15155447,1.6,1.7075,1.36,18.64928,3.5469956,12.79977,0.80749524,0.50444794,0.1882,0.9333333,0.17036319,0.675,1.0,0.0,1.0,1.0,0.8291562,5.0,5.0,1.5,0.5,2.0,0.25,0.0,1.75,0.4330127,2.0,0.5,0.5,0.0,1.25,2.1650636,0.0,0.0,2.25,3.8971143,0.0,0.0,3.0,0.0,3.0,3.0,1304.3325,318.95663,1814.0,60.25,80.0,71.0,10.0,10.27,668.0,3.0,0.61237246,4.0,225.0,60.000004,4.6393533,4.6393538,17.652143,6.765378,2.220446e-16,2.8410118
Ag2AlY_225.vasp,82.905945,33.203037,26.981539,1.5625,0.19803724,1.8,1.6724999,1.22,18.505238,3.7853107,12.2236,0.8372253,0.469357,0.30712,0.97208333,0.17257598,0.675,1.0,0.0,1.0,1.0,0.8660254,5.0,5.0,1.5,0.5,2.0,0.25,0.0,1.75,0.4330127,2.0,0.5,0.5,0.0,1.25,2.1650636,0.0,0.0,2.25,3.8971143,0.0,0.0,3.0,0.0,3.0,3.0,1300.5825,312.9745,1799.0,61.75,80.0,71.0,10.0,10.27,1174.0,3.0,0.61237246,4.0,225.0,60.0,4.8060145,4.8060145,19.623672,7.0154333,0.0,2.9430592
Ag2As2Ba2_194.vasp,106.705605,25.490156,74.9216,1.6333332,0.4089282,2.15,1.6666666,0.89,16.692474,4.875043,10.003826,0.75130635,0.47501513,0.144626,1.0788888,0.3388907,0.66,2.0,0.8164966,1.0,1.0,0.8164966,6.0,4.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,1108.31,96.77973,1234.93,58.0,89.0,14.0,10.27,10.27,1548.0,3.0,0.57735026,6.0,194.0,120.000015,4.6320934,9.0749035,28.104496,6.304643,0.3925313,3.5070212
Ag2As2K4_63.vasp,65.2466,28.625486,39.0983,1.7875,0.44211853,2.2,1.4375,0.82,25.8309,5.883823,18.5892,0.7780528,0.3281931,0.5014591,1.1966667,0.35679126,0.66,1.5,0.8660254,1.0,1.0,0.4330127,5.0,4.0,1.25,0.4330127,2.0,0.75,0.0,0.75,0.8291562,2.0,0.75,0.4330127,1.0,0.75,1.299038,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6583124,5.0,1.0,749.49756,416.1343,1234.93,45.0,89.0,10.0,10.27,45.94,1548.0,3.0,0.61237246,8.0,63.0,90.0,6.3825307,6.38253,29.764927,3.6400065,0.4396365,3.419173
Ag2As2Na4_63.vasp,57.192333,36.13171,22.989769,1.5875,0.2654595,1.8,1.4925001,0.93,33.661583,13.663178,18.5892,0.80128634,0.30886567,0.54792625,1.0166667,0.2080865,0.66,1.5,0.8660254,1.0,1.0,0.8291562,5.0,3.0,1.25,0.4330127,2.0,0.75,0.0,0.75,0.8291562,2.0,0.75,0.4330127,1.0,0.75,1.299038,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.6583124,5.0,1.0,766.66754,399.1006,1234.93,45.5,89.0,11.0,10.27,23.78,1548.0,3.0,0.61237246,8.0,63.0,90.0,5.7285585,5.7285576,22.630455,4.196562,0.24146774,3.0216675
Ag2As2O4_5.vasp,53.697147,39.45637,15.9994,0.9875,0.41888988,1.6,2.7475,1.93,27.57896,7.6113048,18.5892,1.2578759,0.26927465,0.80482,1.0666666,0.24522097,0.66,3.0,1.2247449,1.0,4.0,1.299038,5.0,2.0,1.75,0.4330127,2.0,2.75,0.0,1.25,0.4330127,2.0,0.25,0.4330127,0.0,1.75,1.0897248,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.2247449,5.0,2.0,608.63257,556.1979,1234.93,90.5,101.0,101.0,10.27,17.36,2344.8,3.0,0.61237246,8.0,5.0,51.644558,5.27788,6.915049,17.600752,5.0660458,0.2546183,2.350901
Ag2As2O6_148.vasp,46.157597,38.37738,15.9994,0.91,0.40546268,1.6,2.8860002,1.93,29.087393,7.446277,18.5892,1.2985218,0.25419563,0.80482,1.1053333,0.23256636,0.66,3.2,1.1661904,1.0,4.0,1.264911,5.0,2.0,1.8,0.4,2.0,3.0,0.0,1.2,0.4,2.0,0.2,0.4,0.0,1.8,0.9797959,0.0,2.0,0.0,0.0,0.0,0.0,2.8,1.1661904,5.0,2.0,497.86603,544.57477,1234.93,92.6,101.0,101.0,10.27,17.36,2344.8,3.0,0.66332495,10.0,148.0,45.134514,6.3890753,6.3890758,11.928055,6.425733,0.21558703,2.3761938
Ag2As2Sr2_194.vasp,90.1366,13.567598,74.9216,1.5833331,0.34721112,2.0,1.6866666,0.95,17.034624,4.4071684,11.030276,0.720453,0.51476157,0.052066,1.0222222,0.2732701,0.66,2.0,0.8164966,1.0,1.0,0.4714045,5.0,5.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,1124.9767,79.44518,1234.93,58.333332,89.0,15.0,10.27,10.27,1548.0,3.0,0.57735026,6.0,194.0,120.0,4.537696,8.388962,24.932072,6.0033255,0.3469764,3.3558853
Ag2AsKO4_121.vasp,49.219234,38.82119,15.9994,1.1187501,0.5819888,2.2,2.5775,0.82,29.208435,6.871761,18.5892,1.2199558,0.3419565,0.5014591,1.1741667,0.23150322,0.66,2.75,1.3919411,1.0,4.0,1.299038,5.0,2.0,1.625,0.48412293,2.0,2.375,0.0,1.125,0.59947896,2.0,0.375,0.48412293,0.0,1.375,1.1110243,0.0,2.0,0.0,0.0,0.0,0.0,2.5,1.118034,5.0,1.0,514.4488,529.8831,1234.93,80.625,101.0,101.0,10.27,17.36,2344.8,4.0,0.586302,8.0,121.0,99.37155,5.57101,5.57101,16.260002,5.026473,0.44169742,2.977067
Ag2Au2O4_14.vasp,84.2084,75.13176,15.9994,1.0375,0.44633928,1.6,2.8375,1.93,27.98241,7.153072,20.203,1.6338235,0.3948012,1.304473,1.1691667,0.091024235,1.07,2.5,1.5,1.0,1.0,1.7853571,6.0,2.0,1.5,0.5,2.0,2.0,0.0,1.5,0.5,2.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2247449,5.0,2.0,670.465,616.7286,1337.33,85.75,101.0,101.0,10.21,17.36,3038.8,3.0,0.61237246,8.0,14.0,90.0,5.4793277,5.6115856,14.464522,9.667192,0.060164005,2.1510663
Ag2Au2S4_49.vasp,92.241196,67.92267,32.065,1.2375,0.2534142,1.6,2.4074998,1.93,22.09079,1.3268315,20.203,1.9418231,0.37991777,1.304473,0.9791667,0.09934161,0.88,2.5,1.5,1.0,1.0,1.299038,6.0,3.0,1.5,0.5,2.0,2.0,0.0,1.5,0.5,2.0,0.5,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.2247449,6.0,3.0,837.245,450.34262,1337.33,82.25,94.0,94.0,10.21,15.53,2411.13,3.0,0.61237246,8.0,49.0,90.0,9.524336,7.7298546,25.804592,5.935769,0.18968137,2.5783067
Ag2Au4S4_7.vasp,113.18626,73.79415,32.065,1.26,0.2310844,1.6,2.434,1.93,21.71323,1.406622,20.203,2.0151803,0.3701287,1.304473,0.99733335,0.0959954,0.88,2.2,1.4696939,1.0,1.0,1.3564659,6.0,3.0,1.4,0.48989797,2.0,1.6,0.0,1.6,0.48989797,2.0,0.6,0.48989797,1.0,0.8,0.97979593,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0954452,6.0,3.0,937.2621,449.73364,1337.33,79.8,94.0,70.0,10.21,10.21,2411.13,3.0,0.6,10.0,7.0,90.0,7.172518,7.2884955,23.28118,8.073054,0.071300074,2.5026872
Ag2Au6_194.vasp,174.69199,38.580723,107.8682,1.4125,0.10825317,1.6,2.3874998,1.93,20.52335,0.5548628,20.203,2.057576,0.43480414,1.304473,1.0741668,0.0072168713,1.07,1.0,0.0,1.0,1.0,0.4330127,6.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.8660254,5.0,3.0,1311.73,44.340458,1337.33,70.25,71.0,70.0,10.21,10.21,694.0,2.0,0.7905694,8.0,194.0,120.00001,5.778218,4.8629985,17.576508,16.50401,0.004504434,2.8891149
Ag2AuCd_225.vasp,131.27849,37.970345,107.8682,1.525,0.103077635,1.6,2.0225,1.69,20.020027,1.8711636,16.908314,1.0493891,1.1007397,-0.72,1.0833334,0.007817352,1.07,3.25,3.8971143,1.0,1.0,0.4330127,6.0,5.0,1.25,0.4330127,2.0,0.0,0.0,2.0,0.0,2.0,0.75,0.4330127,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,1.0897248,5.0,2.0,1100.3525,295.19092,1337.33,71.75,75.0,71.0,10.21,10.27,2089.0,3.0,0.61237246,4.0,225.0,59.999977,4.6719904,4.6719904,18.0273,12.092386,1.525866e-07,2.86099
Ag2B2O6_167.vasp,33.335476,37.3205,10.811,0.85,0.38729835,1.6,2.8580003,1.93,30.400518,5.896892,21.4844,1.1935024,0.4608993,0.27972326,1.0553334,0.3295762,0.41,2.8,1.4696939,1.0,4.0,1.1999999,5.0,2.0,1.8,0.4,2.0,2.6,0.0,1.2,0.4,2.0,0.2,0.4,0.0,2.2,1.6,0.0,2.0,0.0,0.0,0.0,0.0,2.4,0.48989797,3.0,2.0,749.666,921.07184,2349.0,92.0,101.0,101.0,4.39,17.36,4109.8,3.0,0.66332495,10.0,167.0,48.159225,6.0011945,6.001195,10.993538,5.0352187,0.33087784,2.2102075
Ag2Ba2Bi2_194.vasp,151.39186,42.460052,107.8682,1.7833334,0.25927252,2.15,1.6133333,0.89,16.063742,4.708671,10.003826,0.7971537,0.48451033,0.144626,1.2038888,0.2034077,1.035,2.0,0.8164966,1.0,1.0,0.4714045,6.0,6.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,926.44336,286.66574,1234.93,57.333332,87.0,14.0,10.27,10.27,598.0,3.0,0.57735026,6.0,194.0,119.99999,4.988496,9.4142275,33.814526,7.434441,0.3956661,3.7194412
Ag2Ba2CoO2Se2_139.vasp,82.13804,43.10585,15.9994,1.3722223,0.5380578,2.15,2.1666667,0.89,21.410566,8.53102,10.003826,1.1693203,0.6677725,0.144626,1.1631482,0.22233394,0.7683333,3.2222223,1.8121674,1.0,4.0,1.3966451,6.0,4.0,1.7777778,0.4157397,2.0,1.7777778,0.0,1.1111112,0.7370277,2.0,0.22222222,0.4157397,0.0,0.8888889,0.99380803,0.0,0.0,0.33333334,0.9428091,0.0,0.0,3.4444444,1.6405358,6.0,2.0,815.0511,546.83246,1768.0,69.111115,101.0,14.0,6.67,10.27,3109.8,5.0,0.45812285,9.0,139.0,31.037502,11.027261,11.027261,20.55339,6.636055,0.33129632,2.8016431
Ag2Ba2F2S2_129.vasp,74.06465,49.852448,18.998404,1.3125,0.62086135,2.15,2.345,0.89,22.449228,8.851534,10.003826,1.7318484,1.1840426,0.144626,1.0404167,0.2926184,0.705,3.0,1.5811388,1.0,1.0,1.5811388,6.0,2.0,1.75,0.4330127,2.0,2.25,0.0,1.0,0.70710677,2.0,0.25,0.4330127,0.0,0.75,0.8291562,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,6.0,-1.0,669.205,471.00952,1234.93,70.25,102.0,14.0,10.27,10.27,2349.97,4.0,0.5,8.0,129.0,90.0,4.304429,9.419909,21.816637,5.6373143,0.023691699,2.7143497
Ag2Ba2F2Se2_129.vasp,85.7884,43.735783,18.998404,1.35,0.6051859,2.15,2.3374999,0.89,21.91376,8.846364,10.003826,1.7177234,1.1801703,0.144626,1.07375,0.27975777,0.705,3.0,1.5811388,1.0,1.0,1.47902,6.0,2.0,1.75,0.4330127,2.0,2.25,0.0,1.0,0.70710677,2.0,0.25,0.4330127,0.0,0.75,0.8291562,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,6.0,-1.0,695.61505,457.28348,1234.93,70.0,102.0,14.0,10.27,10.27,2349.97,4.0,0.5,8.0,129.0,90.0,4.412943,9.527038,23.19127,6.1426125,0.057580978,2.799158
Ag2Ba2F2Te2_129.vasp,97.948395,46.801163,18.998404,1.4125,0.59411174,2.15,2.225,0.89,21.26476,8.969583,10.003826,1.7052912,1.1771723,0.144626,1.14375,0.2906993,0.705,3.0,1.5811388,1.0,1.0,1.5,6.0,5.0,1.75,0.4330127,2.0,2.25,0.0,1.0,0.70710677,2.0,0.25,0.4330127,0.0,0.75,0.8291562,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,6.0,-1.0,752.78,442.5619,1234.93,69.75,102.0,14.0,10.27,10.27,2349.97,4.0,0.5,8.0,129.0,90.0,4.583373,9.83437,25.824205,6.298244,0.10078782,2.9162467
Ag2Ba2O4_12.vasp,69.2985,54.307194,15.9994,1.2375,0.6664974,2.15,2.425,0.89,25.432617,10.504406,10.003826,1.0928274,0.55116624,0.144626,1.2741667,0.14330183,1.0866667,2.75,1.299038,1.0,4.0,1.7853571,6.0,2.0,1.75,0.4330127,2.0,2.0,0.0,1.0,0.70710677,2.0,0.25,0.4330127,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.4330127,3.0,2.0,586.13257,537.7855,1234.93,71.75,101.0,101.0,10.27,17.36,2344.8,3.0,0.61237246,8.0,12.0,105.29213,6.3001966,3.9173756,18.746153,6.1384788,0.2758849,2.7231874
Ag2Ba2P2_194.vasp,92.05631,44.834988,30.973763,1.5833334,0.46963346,2.15,1.6700001,0.89,17.085905,5.0564885,10.003826,0.73190206,0.47361973,0.144626,1.0422223,0.38503808,0.55,2.0,0.8164966,1.0,1.0,1.2472191,6.0,3.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,850.74335,389.2038,1234.93,58.333332,90.0,14.0,10.27,10.27,1885.0,3.0,0.57735026,6.0,194.0,119.99999,4.5045886,9.021586,26.422417,5.7853575,0.39680165,3.442466
Ag2Ba2Sb2_194.vasp,122.3184,12.032983,107.8682,1.7333332,0.30092454,2.15,1.6233333,0.89,16.038074,4.7053256,10.003826,0.83216673,0.4973635,0.144626,1.1355555,0.27165246,0.83,2.0,0.8164966,1.0,1.0,0.4714045,6.0,5.0,1.6666666,0.47140452,2.0,1.0,0.0,1.0,0.8164966,2.0,0.33333334,0.47140452,0.0,1.0,1.4142135,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333,1.2472192,5.0,2.0,1046.2368,139.0886,1234.93,57.666668,88.0,14.0,10.27,10.27,575.0,3.0,0.57735026,6.0,194.0,120.0,4.8682604,9.381796,32.093197,6.328895,0.40072346,3.6607516
Ag2BaGe2_139.vasp,99.66868,24.550814,72.64,1.5699999,0.32954517,2.15,1.7540001,0.89,16.968369,4.2762423,10.003826,1.043785,0.45072457,0.144626,1.0406667,0.26557612,0.77,1.6,0.48989794,1.0,2.0,0.74833155,6.0,4.0,1.6,0.48989794,2.0,0.8,0.0,1.2,0.7483314,2.0,0.4,0.48989797,0.0,1.6,1.9595919,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.7483314,4.0,2.0,1178.532,89.88411,1234.93,64.8,84.0,71.0,10.27,10.27,950.0,3.0,0.6,5.0,139.0,90.0,4.643529,6.274915,23.059984,7.177097,0.37244192,3.5147996
Ag2BaGeS4_121.vasp,69.24542,40.55798,32.065,1.325,0.39686275,2.15,2.135,0.89,20.282345,4.5385265,10.003826,1.5368333,0.64287513,0.144626,0.9941667,0.21370248,0.77,2.75,1.299038,1.0,4.0,1.118034,6.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.125,0.59947896,2.0,0.25,0.4330127,0.0,1.5,1.3228756,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5811388,6.0,2.0,779.3375,397.1701,1234.93,77.0,94.0,94.0,10.27,15.53,2375.13,4.0,0.586302,8.0,121.0,98.91009,6.3855386,6.3855386,24.433416,4.706044,0.34704682,3.2832966
Ag2BaGeSe4_23.vasp,92.692924,21.240501,72.64,1.4,0.33819377,2.15,2.12,0.89,19.211403,3.8987875,10.003826,1.5085833,0.6193232,0.144626,1.0608333,0.18679126,0.77,2.75,1.299038,1.0,4.0,0.70710677,6.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.125,0.59947896,2.0,0.25,0.4330127,0.0,1.5,1.3228756,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5811388,6.0,2.0,832.15753,345.29868,1234.93,76.5,93.0,93.0,10.27,16.42,2135.0,4.0,0.586302,8.0,23.0,100.761154,6.655866,6.655866,27.876415,5.521521,0.33956274,3.4476755
Ag2BaKTe4_107.vasp,112.820206,29.492195,39.0983,1.64375,0.3176452,2.2,1.7462499,0.82,19.874702,5.558613,10.003826,1.3923168,0.68050665,0.144626,1.2945833,0.14809847,1.0866667,2.625,1.4086784,1.0,4.0,0.5,6.0,5.0,1.625,0.48412293,2.0,2.0,0.0,1.0,0.70710677,2.0,0.375,0.48412293,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.125,1.9645292,6.0,1.0,837.1288,284.17212,1234.93,66.75,92.0,92.0,10.27,20.46,1403.0,4.0,0.586302,8.0,107.0,29.396,12.795753,12.795753,32.614586,5.744128,0.28211114,3.5965207
Ag2BaS2_164.vasp,83.438675,43.30373,32.065,1.47,0.4331282,2.15,1.982,0.89,19.929676,5.0316706,10.003826,1.3815563,0.7084427,0.144626,1.0846667,0.22274649,0.88,2.4,1.3564659,1.0,1.0,1.1999999,6.0,3.0,1.6,0.48989794,2.0,1.6,0.0,1.2,0.7483314,2.0,0.4,0.48989797,0.0,0.8,0.97979593,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.67332,6.0,2.0,849.31604,386.02148,1234.93,68.8,94.0,71.0,10.27,10.27,1717.13,3.0,0.6,5.0,164.0,120.0,4.3956532,7.268157,24.323814,5.696195,0.19321251,3.1547554
Ag2BaS4Sn_23.vasp,75.00417,43.7743,32.065,1.35,0.39764935,2.15,2.1287498,0.89,20.119652,4.7114954,10.003826,1.5217576,0.65119135,0.144626,1.0016668,0.2066398,0.83,2.75,1.299038,1.0,4.0,1.1659224,6.0,3.0,1.75,0.4330127,2.0,2.25,0.0,1.125,0.59947896,2.0,0.25,0.4330127,0.0,1.5,1.3228756,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5811388,6.0,2.0,691.0475,368.804,1234.93,76.875,94.0,94.0,10.27,15.53,2157.13,4.0,0.586302,8.0,23.0,100.78668,6.4672103,6.4672103,25.549473,4.8747525,0.30132088,3.3301084
Ag2BaSe4Sn_23.vasp,98.451675,21.268328,78.96,1.425,0.33354166,2.15,2.11375,0.89,19.048712,4.0561123,10.003826,1.4935076,0.6272728,0.144626,1.0683334,0.17584716,0.83,2.75,1.299038,1.0,4.0,0.69597054,6.0,4.0,1.75,0.4330127,2.0,2.25,0.0,1.125,0.59947896,2.0,0.25,0.4330127,0.0,1.5,1.3228756,0.0,2.0,0.0,0.0,0.0,0.0,4.5,1.5811388,6.0,2.0,743.86755,326.8492,1234.93,76.375,93.0,93.0,10.27,16.42,1917.0,4.0,0.586302,8.0,23.0,101.39039,6.7740874,6.7740874,29.4267,5.555596,0.29744154,3.4800317
Ag2BaSn2_139.vasp,118.09668,10.768481,107.8682,1.65,0.2588436,2.15,1.734,0.89,16.447754,4.446256,10.003826,0.9955424,0.434072,0.144626,1.0646666,0.24166644,0.83,1.6,0.48989794,1.0,2.0,0.39999998,6.0,5.0,1.6,0.48989794,2.0,0.8,0.0,1.2,0.7483314,2.0,0.4,0.48989797,0.0,1.6,1.9595919,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.7483314,4.0,2.0,896.0041,330.51477,1234.93,64.4,83.0,71.0,10.27,10.27,732.0,3.0,0.6,5.0,139.0,89.99999,4.8542075,6.7064977,27.152254,7.222389,0.36191624,3.7244427
