formula,MASS_MEAN,MASS_STD,MASS_MIN,ATOMIC_RADII_MEAN,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_MIN,IONIZATION_ENERGIES_MEAN,IONIZATION_ENERGIES_STD,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MIN,VALENCE_MEAN,VALENCE_STD,VALENCE_MIN,VALENCE_MODE,SHELL_STD,SHELL_MAX,SHELL_MODE,S_E_MEAN,S_E_STD,S_E_MAX,P_E_MEAN,P_E_MIN,BLOCK_MEAN,BLOCK_STD,BLOCK_MAX,S_UNFILLED_MEAN,S_UNFILLED_STD,S_UNFILLED_MODE,P_UNFILLED_MEAN,P_UNFILLED_STD,P_UNFILLED_MIN,P_UNFILLED_MODE,D_UNFILLED_MEAN,D_UNFILLED_STD,D_UNFILLED_MIN,D_UNFILLED_MODE,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MAX_OXIDATION_STATE_MAX,MAX_OXIDATION_STATE_MIN,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MAX,MENDELEEV_NO_MEAN,MENDELEEV_NO_MAX,MENDELEEV_NO_MODE,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_RANGE,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,C,VOLUME_PER_ATOM,DENSITY,DISTANCE_STD,DISTANCE_MAX
CoO6WZn2_1.vasp,46.958755,50.31061,15.9994,0.9000001,0.36742347,1.35,2.818,1.65,28.01099,8.718343,16.37,0.9005165,0.8107627,-0.62,1.0855,0.21665904,0.76666665,5.5,2.4186773,4.0,4.0,1.3416407,6.0,2.0,2.0,0.0,2.0,2.4,0.0,1.4,0.48989797,2.0,0.0,0.0,0.0,1.2,0.97979593,0.0,2.0,0.9,1.9209373,0.0,0.0,2.7,1.4177446,6.0,2.0,717.71594,1122.734,3695.0,87.7,101.0,101.0,6.67,17.36,5737.8,4.0,0.6480741,10.0,1.0,119.233604,5.2576475,5.5263715,11.206784,6.9580045,0.047003295,2.053861
CoO7P2_5.vasp,23.287653,13.268713,15.9994,0.755,0.25342652,1.35,3.0340002,1.88,30.247122,7.477365,17.0844,1.2383217,0.34100375,0.662265,1.0688334,0.2974036,0.55,4.1,1.0440307,3.0,4.0,0.66332495,4.0,2.0,2.0,0.0,2.0,3.4,0.0,1.1,0.29999998,2.0,0.0,0.0,0.0,2.0,0.7745967,0.0,2.0,0.3,0.90000004,0.0,0.0,2.9,1.3747727,5.0,2.0,278.62,507.14032,1768.0,95.1,101.0,101.0,6.67,17.36,3109.8,3.0,0.73484695,10.0,5.0,101.230225,5.2356696,4.560611,12.043785,3.2107894,0.12936048,1.9532671
CoOsSc2_225.vasp,84.76875,61.154873,44.955914,1.4625001,0.13863173,1.6,1.7,1.36,14.920985,2.1214247,12.79977,0.52911663,0.3712249,0.1882,0.8028333,0.08881114,0.673,3.75,2.772634,1.0,1.0,0.8660254,6.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,2.772634,3.0,9.0,4.75,2.046338,8.0,3.0,2175.5,652.9646,3306.0,41.25,64.0,19.0,6.67,15.0,2182.0,3.0,0.61237246,4.0,225.0,60.0,4.476967,4.476967,15.862681,8.873773,4.7485432e-06,2.741571
CoOsTi2_225.vasp,86.2243,60.21743,47.867,1.3625,0.041457817,1.4,1.79,1.54,15.308849,1.733607,13.5755,0.47278908,0.42354065,0.075545,0.78616667,0.07366348,0.673,4.25,2.2776084,2.0,2.0,0.8660254,6.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,2.2776084,3.0,8.0,5.25,1.6393596,8.0,4.0,2239.0,620.0681,3306.0,57.25,64.0,51.0,6.67,10.64,2085.0,3.0,0.61237246,4.0,225.0,60.0,4.308872,4.308872,14.142162,10.124252,3.1401849000000005e-16,2.6386344
CoOsZr2_225.vasp,107.9028,49.32584,58.933193,1.4375,0.1138804,1.55,1.685,1.33,15.0861,1.9563276,13.13,0.65166104,0.2631923,0.433289,0.7903333,0.07739188,0.673,4.25,2.2776084,2.0,2.0,0.70710677,6.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,2.2776084,3.0,8.0,5.25,1.6393596,8.0,4.0,2332.5,580.9481,3306.0,56.25,64.0,49.0,6.67,14.02,2085.0,3.0,0.61237246,4.0,225.0,60.0,4.597206,4.597206,17.175402,10.432176,4.876076e-06,2.8152022
CoOs_187.vasp,124.5816,65.64841,58.933193,1.325,0.025000036,1.35,2.04,1.88,17.0422,0.04220009,17.0,0.87003314,0.20776817,0.662265,0.72066665,0.04766667,0.673,6.5,0.5,6.0,6.0,1.0,6.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,3.0,3.0,6.5,1.5,8.0,5.0,2537.0,769.0,3306.0,63.5,64.0,63.0,6.67,6.67,2085.0,2.0,0.70710677,2.0,187.0,120.0,2.671274,4.116557,12.719546,16.26415,0.0,2.5719786
CoPd3_221.vasp,94.548294,20.56239,58.933193,1.3875,0.021650614,1.4,2.12,1.88,18.843601,1.0156746,17.0844,0.58717215,0.043354888,0.5621412,0.82677084,0.033738915,0.7683333,9.25,1.299038,7.0,10.0,0.4330127,5.0,5.0,0.5,0.8660254,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.299038,0.0,0.0,4.25,0.4330127,5.0,4.0,1813.0376,26.002436,1828.05,67.75,69.0,69.0,6.67,8.56,36.0,2.0,0.7905694,4.0,221.0,90.0,3.850376,3.850376,14.2708235,11.001548,0.0,2.7226257
CoPd_166.vasp,82.6766,23.743402,58.933193,1.375,0.024999976,1.4,2.04,1.88,18.2572,1.1728001,17.0844,0.6122031,0.05006191,0.5621412,0.8072916,0.03895834,0.7683333,8.5,1.5,7.0,7.0,0.5,5.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,4.5,0.5,5.0,4.0,1798.025,30.025024,1828.05,66.5,69.0,64.0,6.67,6.67,36.0,2.0,0.70710677,2.0,166.0,34.283794,4.566522,4.566522,13.472911,10.189907,0.0,2.650437
CoPt3_221.vasp,161.0463,58.95503,58.933193,1.35,0.0,1.35,2.1799998,1.88,18.1911,0.6389532,17.0844,1.7593949,0.6334282,0.662265,0.79583335,0.015877144,0.7683333,1.75,3.0310888,0.0,0.0,0.8660254,6.0,6.0,1.25,0.4330127,2.0,0.0,0.0,2.0,0.0,2.0,0.75,0.4330127,1.0,0.0,0.0,0.0,0.0,1.5,0.8660254,1.0,1.0,5.75,0.4330127,6.0,5.0,1973.0499,118.38568,2041.4,67.0,68.0,68.0,6.67,9.09,898.0,2.0,0.7905694,4.0,221.0,90.0,3.8738987,3.873903,14.533958,18.39992,0.0,2.7392557
CoPt_166.vasp,127.0086,68.0754,58.933193,1.35,0.0,1.35,2.08,1.88,17.8222,0.73779964,17.0844,1.393685,0.73142,0.662265,0.78666663,0.018333346,0.7683333,3.5,3.5,0.0,0.0,1.0,6.0,4.0,1.5,0.5,2.0,0.0,0.0,2.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.5,0.5,6.0,5.0,1904.7,136.70001,2041.4,66.0,68.0,64.0,6.67,6.67,898.0,2.0,0.70710677,2.0,166.0,34.42616,4.5495586,4.549558,13.423742,15.711173,4.440892e-16,2.6433372
