formula,MASS_MEAN,MASS_STD,MASS_MIN,ATOMIC_RADII_MEAN,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_MIN,IONIZATION_ENERGIES_MEAN,IONIZATION_ENERGIES_STD,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MIN,VALENCE_MEAN,VALENCE_STD,VALENCE_MIN,VALENCE_MODE,SHELL_STD,SHELL_MAX,SHELL_MODE,S_E_MEAN,S_E_STD,S_E_MAX,P_E_MEAN,P_E_MIN,BLOCK_MEAN,BLOCK_STD,BLOCK_MAX,S_UNFILLED_MEAN,S_UNFILLED_STD,S_UNFILLED_MODE,P_UNFILLED_MEAN,P_UNFILLED_STD,P_UNFILLED_MIN,P_UNFILLED_MODE,D_UNFILLED_MEAN,D_UNFILLED_STD,D_UNFILLED_MIN,D_UNFILLED_MODE,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MAX_OXIDATION_STATE_MAX,MAX_OXIDATION_STATE_MIN,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MAX,MENDELEEV_NO_MEAN,MENDELEEV_NO_MAX,MENDELEEV_NO_MODE,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_RANGE,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,C,VOLUME_PER_ATOM,DENSITY,DISTANCE_STD,DISTANCE_MAX,ees_kappa,B
Ba2CaO6Re_87.vasp,59.693535,63.165966,15.9994,1.1050001,0.652476,2.15,2.532,0.89,25.920609,11.39662,10.003826,0.9140832,0.6707888,0.024551,1.23925,0.20387512,0.7125,3.5,1.024695,2.0,4.0,1.8000001,6.0,2.0,2.0,0.0,2.0,2.4,0.0,0.8,0.6,2.0,0.0,0.0,0.0,1.2,0.97979593,0.0,2.0,0.5,1.5,0.0,0.0,2.5,1.5,7.0,2.0,690.27997,1022.7932,3459.0,70.8,101.0,101.0,8.86,17.36,5778.8,4.0,0.6480741,10.0,87.0,89.82868,5.949783,5.949783,14.870865,6.665615,0.3856938,2.9015312,23.125747640905985,151.226
Ba2Cd2Sn2_12.vasp,122.81601,10.578156,112.411,1.7166667,0.30912066,2.15,1.5133333,0.89,13.848404,2.8728342,10.003826,0.17889874,0.7483321,-0.72,1.1366667,0.271457,0.83,4.6666665,3.771236,2.0,2.0,0.4714045,6.0,5.0,2.0,0.0,2.0,0.6666667,0.0,1.0,0.8164966,2.0,0.0,0.0,0.0,1.3333334,1.885618,0.0,0.0,0.0,0.0,0.0,0.0,2.6666667,0.94280905,4.0,2.0,699.76666,215.3935,1000.0,57.333332,83.0,14.0,13.0,13.0,1835.0,3.0,0.57735026,6.0,12.0,46.636482,6.611497,8.536808,32.34967,6.304261,0.25748342,3.5200925,4.321985720652454,36.017
Ba2Cl2F2_129.vasp,63.926136,52.335163,18.998404,1.2166667,0.69081277,2.15,2.6766665,0.89,22.929426,10.211886,10.003826,2.3861804,1.5873692,0.144626,0.9916666,0.35370266,0.705,4.0,1.4142135,2.0,5.0,1.6996732,6.0,2.0,2.0,0.0,2.0,3.3333333,0.0,0.6666667,0.4714045,1.0,0.0,0.0,0.0,0.6666667,0.4714045,0.0,1.0,0.0,0.0,0.0,0.0,2.6666667,3.2998316,7.0,-1.0,408.3767,421.10864,1000.0,71.666664,102.0,14.0,11.2,11.2,2057.97,3.0,0.57735026,6.0,129.0,90.0,4.4183087,7.2809687,23.689182,4.481026,0.26583815,3.2300694,7.319024200222413,48.931
Ba2HgTl_225.vasp,169.90683,32.607418,137.327,1.9250001,0.2657537,2.15,1.35,0.89,14.798208,4.830663,10.003826,0.022326306,0.32119834,-0.52,1.389375,0.10527309,1.245,3.75,3.6314597,1.0,2.0,0.0,6.0,6.0,2.0,0.0,2.0,0.25,0.0,0.75,0.8291562,2.0,0.0,0.0,0.0,1.25,2.1650636,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.8291562,4.0,2.0,702.83,320.91852,1000.0,45.0,78.0,14.0,14.09,38.16,1513.12,3.0,0.61237246,4.0,225.0,60.0,5.9754596,5.9754596,37.717155,7.480334,4.440892e-16,3.6592066,2.9971735618124984,26.504
Ba2MgO6W_225.vasp,57.879536,63.35674,15.9994,1.075,0.6261989,2.15,2.609,0.89,26.213964,11.06087,10.003826,0.9452152,0.6898683,-0.42,1.2166667,0.22144978,0.76666665,3.4,0.9165151,2.0,4.0,1.7916473,6.0,2.0,2.0,0.0,2.0,2.4,0.0,0.8,0.6,2.0,0.0,0.0,0.0,1.2,0.97979593,0.0,2.0,0.6,1.8000001,0.0,0.0,2.4,1.1999999,6.0,2.0,694.68,1081.5345,3695.0,76.2,101.0,101.0,9.47,17.36,5737.8,4.0,0.6480741,10.0,225.0,60.0,5.823989,5.823989,13.968398,6.88062,0.373811,2.9134858,21.84944468588785,148.897
Ba2MnO4_139.vasp,56.227085,52.954323,15.9994,1.1571429,0.6837024,2.15,2.4414287,0.89,25.161734,11.630904,10.003826,0.8019533,0.78827524,-0.52,1.2383335,0.2609461,0.6483333,3.5714285,1.0497812,2.0,4.0,1.7612612,6.0,2.0,2.0,0.0,2.0,2.2857144,0.0,0.85714287,0.63887656,2.0,0.0,0.0,0.0,1.1428572,0.9897433,0.0,2.0,0.71428573,1.7496356,0.0,0.0,2.7142856,1.7496356,7.0,2.0,534.0286,576.0788,1519.0,70.28571,101.0,101.0,7.35,17.36,2243.8,3.0,0.65465367,7.0,139.0,46.69309,7.2436986,7.243429,15.654602,5.9642067,0.35330027,2.7747898,14.209865153054285,95.592
Ba2Na4O4_36.vasp,43.061066,47.236526,15.9994,1.3900001,0.6575713,2.15,1.926,0.89,34.96376,13.614264,10.003826,0.83253783,0.5339334,0.144626,1.266,0.120598525,1.16,2.4,1.3564659,1.0,1.0,1.4696939,6.0,2.0,1.6,0.48989797,2.0,1.6,0.0,0.4,0.48989797,1.0,0.4,0.489898,0.0,0.8,0.97979593,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.48989797,2.0,1.0,370.268,345.1386,1000.0,47.6,101.0,11.0,17.36,17.36,2052.8,3.0,0.6,10.0,36.0,147.84657,6.870104,7.87332,19.77652,3.6156304,0.16056265,2.7161431,6.410315987391577,47.459
Ba2NaO6Os_225.vasp,58.387012,64.71386,15.9994,1.1000001,0.65076876,2.15,2.555,0.89,29.502075,11.926392,10.003826,1.0681612,0.5387952,0.144626,1.2373,0.21335794,0.673,3.5,1.3601471,1.0,4.0,1.7916473,6.0,2.0,1.9,0.29999998,2.0,2.4,0.0,0.8,0.6,2.0,0.1,0.29999998,0.0,1.2,0.97979593,0.0,2.0,0.4,1.1999999,0.0,0.0,2.5,1.8574176,8.0,1.0,600.567,973.5704,3306.0,70.8,101.0,101.0,8.42,17.36,5194.8,4.0,0.6480741,10.0,225.0,60.0,5.937867,5.937867,14.803908,6.549211,0.4235194,2.975147,18.469534695796906,128.931
Ba2Nb2S6_194.vasp,65.285675,43.043453,32.065,1.32,0.45011112,2.15,2.046,0.89,18.867493,5.6426473,10.003826,1.4586693,0.795872,0.144626,0.98999995,0.25107768,0.82,2.8,1.6,0.0,4.0,1.264911,6.0,3.0,1.8,0.4,2.0,2.4,0.0,1.0,0.6324555,2.0,0.2,0.4,0.0,1.2,0.97979593,0.0,2.0,1.2,2.3999999,0.0,0.0,5.0,1.5491934,6.0,2.0,983.016,914.69867,2750.0,69.8,94.0,94.0,10.83,15.53,4299.13,3.0,0.66332495,10.0,194.0,119.99999,6.9526563,5.735827,24.01199,4.5148034,0.38877,3.4750545,12.314175778450192,78.019
Ba2O6TaTl_225.vasp,75.59816,75.24436,15.9994,1.1250001,0.6679259,2.15,2.5540001,0.89,26.736267,10.642307,10.003826,0.96990573,0.6041916,0.144626,1.26925,0.17429878,0.82,3.2,1.077033,1.0,4.0,1.9595919,6.0,2.0,2.0,0.0,2.0,2.5,0.0,0.9,0.53851646,2.0,0.0,0.0,0.0,1.7,1.4177446,0.0,2.0,0.7,2.1000001,0.0,0.0,2.4,0.91651505,5.0,2.0,619.57996,966.2428,3290.0,76.4,101.0,101.0,10.85,17.36,5640.8,4.0,0.6480741,10.0,225.0,60.0,6.031393,6.031393,15.514504,8.091376,0.40151685,3.0185623,19.0291927172388,140.202
Ba2S4_15.vasp,67.152336,49.62098,32.065,1.3833333,0.5421152,2.15,2.0166667,0.89,18.893194,6.2857327,10.003826,1.4329451,0.9109791,0.144626,1.0833334,0.28755677,0.88,3.3333333,0.94280905,2.0,4.0,1.4142135,6.0,3.0,2.0,0.0,2.0,2.6666667,0.0,0.6666667,0.4714045,1.0,0.0,0.0,0.0,1.3333334,0.942809,0.0,2.0,0.0,0.0,0.0,0.0,4.6666665,1.8856181,6.0,2.0,592.2399,288.32986,1000.0,67.333336,94.0,94.0,15.53,15.53,1425.13,2.0,0.74535596,6.0,15.0,62.842884,5.266236,8.403188,30.189346,3.6936564,0.5065248,3.1835198,7.0776910497239465,42.674
BaBi3_221.vasp,191.06705,31.02683,137.327,1.7375,0.23815703,2.15,1.7375,0.89,15.028206,2.900827,10.003826,0.7429281,0.34542987,0.144626,1.14875,0.1970208,1.035,2.75,0.4330127,2.0,3.0,0.0,6.0,6.0,2.0,0.0,2.0,2.25,0.0,0.75,0.4330127,1.0,0.0,0.0,0.0,2.25,1.299038,0.0,3.0,0.0,0.0,0.0,0.0,4.25,1.299038,5.0,2.0,658.30005,197.28058,1000.0,68.75,87.0,87.0,21.31,21.31,306.0,2.0,0.7905694,4.0,221.0,90.0,5.153163,5.1520658,34.19611,9.278082,0.0,3.6430607,5.155592633624991,42.221
BaCaHfO6W_216.vasp,63.57314,68.73225,15.9994,1.0450001,0.5768232,2.15,2.619,0.89,26.358227,10.843618,10.003826,0.9930147,0.60561645,0.024551,1.1806667,0.20392156,0.76666665,3.4,0.9165151,2.0,4.0,1.8000001,6.0,2.0,2.0,0.0,2.0,2.4,0.0,1.0,0.6324555,2.0,0.0,0.0,0.0,1.2,0.97979593,0.0,2.0,1.4,2.8354893,0.0,0.0,2.6,1.2806249,6.0,2.0,864.48,1213.3033,3695.0,74.1,101.0,101.0,9.47,17.36,5737.8,5.0,0.6324555,10.0,216.0,60.0,5.8431926,5.8431926,14.10703,7.4831967,0.34358114,2.9215994,22.55827076171715,156.33
BaCo2O5Y_123.vasp,47.121803,40.831524,15.9994,1.0722222,0.5735422,2.15,2.5633335,0.89,25.77798,10.646716,10.003826,1.0090891,0.5272807,0.144626,1.1518519,0.23082173,0.7683333,4.111111,1.8525925,1.0,4.0,1.4740554,6.0,2.0,2.0,0.0,2.0,2.2222223,0.0,1.2222222,0.6285393,2.0,0.0,0.0,0.0,1.1111112,0.993808,0.0,2.0,1.6666666,2.867442,0.0,0.0,2.7777777,1.2272623,5.0,2.0,734.3333,792.31415,1799.0,74.666664,101.0,101.0,6.67,17.36,3518.8,4.0,0.6186405,9.0,123.0,90.0,3.907875,7.691641,13.051422,5.9953313,0.25735137,2.763285,17.496679139222216,120.758
BaCoO6SrW_216.vasp,56.371655,57.934856,15.9994,1.0450001,0.59222037,2.15,2.6720002,0.89,26.521524,10.717482,10.003826,1.0441858,0.5508404,0.052066,1.1905,0.22210614,0.76666665,3.9,1.3,2.0,4.0,1.6763055,6.0,2.0,2.0,0.0,2.0,2.4,0.0,1.0,0.6324555,2.0,0.0,0.0,0.0,1.2,0.97979593,0.0,2.0,0.9,1.9209373,0.0,0.0,2.7,1.4177446,6.0,2.0,784.18,1129.1583,3695.0,75.4,101.0,101.0,6.67,17.36,5737.8,5.0,0.6324555,10.0,44.0,89.76985,5.7612114,5.7581463,13.518371,6.9244547,0.36330554,2.8752737,20.910301258895657,145.73
BaF2O2PdSr_107.vasp,57.337517,47.931335,15.9994,1.1071428,0.67845863,2.15,2.6971428,0.89,25.806852,11.020854,10.003826,1.4976319,1.3117688,0.052066,1.08375,0.2991155,0.705,4.571429,2.4989796,2.0,2.0,1.6781914,6.0,2.0,1.7142857,0.6998542,2.0,2.5714285,0.0,0.85714287,0.63887656,2.0,0.0,0.0,0.0,0.85714287,0.8329931,0.0,0.0,0.0,0.0,0.0,0.0,1.4285715,1.6781914,4.0,-1.0,584.9586,661.25073,1828.05,72.0,102.0,101.0,8.56,11.2,3150.97,5.0,0.47380355,7.0,107.0,46.309093,7.454436,7.454436,16.825119,5.658871,0.23767053,2.6622512,12.0160190208003,82.449
BaGa4_139.vasp,83.24379,27.0416,69.723,1.47,0.34000006,2.15,1.6259998,0.89,18.412878,4.204526,10.003826,0.26988608,0.062630035,0.144626,0.90599996,0.292,0.76,1.2,0.4,1.0,1.0,0.8,6.0,4.0,2.0,0.0,2.0,0.8,0.0,0.8,0.40000004,1.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.8,0.4,3.0,2.0,442.32803,278.836,1000.0,67.6,81.0,81.0,11.8,11.8,334.0,2.0,0.82462114,5.0,139.0,90.0,4.5837817,6.2685766,22.54732,6.1306434,0.3407284,3.4961376,7.159742122410982,52.222
BaO3Re_221.vasp,74.306435,73.06499,15.9994,1.06,0.61757594,2.15,2.6220002,0.89,26.393438,10.890804,10.003826,0.91766775,0.66610515,0.06039663,1.1965001,0.257874,0.7125,3.8,0.9797959,2.0,4.0,1.9595917,6.0,2.0,2.0,0.0,2.0,2.4,0.0,1.0,0.6324555,2.0,0.0,0.0,0.0,1.2,0.9797959,0.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,7.0,2.0,924.6799,1318.9786,3459.0,75.0,101.0,101.0,8.86,17.36,5778.8,3.0,0.66332495,5.0,221.0,90.0,4.064732,4.064732,13.431538,9.186494,0.33673343,2.8741996,33.23555443893773,190.036
